,time,ctx,pollingcause,cacheage,matchlevel,carrierMktcarrier,office,OTA,Country,classes,England,ROW,US
20455,22/04/2016 23:38,1,1,0,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20456,22/04/2016 23:47,1,1,9,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20457,22/04/2016 23:49,1,1,2,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20458,22/04/2016 23:50,1,1,1,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20459,22/04/2016 23:50,1,1,1,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20460,22/04/2016 23:50,1,1,0,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20461,22/04/2016 23:50,1,1,0,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20462,23/04/2016 00:45,1,1,69,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20463,23/04/2016 00:47,1,1,57,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20464,23/04/2016 00:55,1,1,10,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20465,23/04/2016 00:56,1,1,1,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20466,23/04/2016 00:58,1,1,11,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20467,23/04/2016 01:55,1,1,57,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20468,23/04/2016 02:08,1,1,72,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20469,23/04/2016 02:08,1,1,72,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20470,23/04/2016 02:08,1,1,0,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20471,23/04/2016 02:14,1,1,19,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20472,23/04/2016 04:51,1,1,157,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20473,23/04/2016 05:34,1,2,43,0,1,LON,RM38AA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20474,23/04/2016 05:34,1,2,43,0,1,LON,RM38AA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20475,23/04/2016 05:39,1,1,211,0,1,NYC,IN38MT,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20476,23/04/2016 05:55,1,1,21,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
